TaskName,GenerationTime,TaskID,TaskSize,CyclesPerBit,TransBitRate,DDL,SrcName
t695,752.0,695,66,519,30,52,n16
t696,760.0,696,60,239,20,47,n21
t697,761.0,697,39,486,10,89,n8
t698,761.0,698,85,167,20,90,n23
t699,762.0,699,85,573,20,52,n8
t700,763.0,700,30,257,20,28,n8
t701,763.0,701,82,800,30,94,n16
t702,764.0,702,27,328,30,76,n21
t703,764.0,703,45,946,20,36,n23
t704,765.0,704,29,161,40,76,n8
t705,767.0,705,81,477,40,32,n8
t706,767.0,706,96,561,30,64,n21
t707,768.0,707,85,214,40,100,n16
t708,769.0,708,70,561,30,29,n21
t709,770.0,709,49,249,40,23,n16
t710,776.0,710,39,820,40,86,n8
t711,776.0,711,87,436,30,61,n21
t712,778.0,712,78,586,10,97,n16
t713,778.0,713,77,969,30,49,n16
t714,778.0,714,25,888,20,49,n23
t715,785.0,715,91,672,10,89,n8
t716,785.0,716,50,696,30,53,n8
t717,787.0,717,80,686,40,28,n8
t718,787.0,718,32,195,20,53,n21
t719,788.0,719,37,316,20,22,n8
t720,788.0,720,23,110,40,25,n21
t721,789.0,721,74,474,20,29,n23
t722,791.0,722,21,534,10,51,n23
t723,792.0,723,95,788,40,81,n16
t724,792.0,724,62,621,40,47,n16
t725,794.0,725,61,860,30,43,n16
t726,794.0,726,71,671,30,73,n23
t727,795.0,727,89,203,40,32,n8
t728,796.0,728,41,315,10,48,n8
t729,797.0,729,49,301,30,24,n21
t730,797.0,730,92,713,30,21,n21
t731,797.0,731,44,447,20,81,n23
t732,798.0,732,51,882,40,97,n8
t733,798.0,733,53,131,40,28,n21
t734,799.0,734,34,876,40,95,n8
t735,799.0,735,30,565,40,98,n21
t736,800.0,736,13,681,40,98,n8
t737,800.0,737,13,303,10,75,n16
t738,800.0,738,41,637,30,79,n23
t739,800.0,739,57,770,10,41,n23
t740,801.0,740,81,419,20,25,n23
t741,802.0,741,55,136,30,69,n23
t742,803.0,742,74,563,40,39,n16
t743,803.0,743,26,183,30,40,n16
t744,803.0,744,88,683,40,78,n23
t745,804.0,745,23,640,30,87,n21
t746,805.0,746,12,707,20,88,n23
t747,806.0,747,41,361,40,85,n23
t748,806.0,748,17,392,10,70,n23
t749,808.0,749,79,104,10,98,n21
t750,809.0,750,13,643,40,64,n16
t751,811.0,751,29,760,40,46,n16
t752,812.0,752,51,526,30,71,n16
t753,813.0,753,13,994,30,43,n8
t754,813.0,754,21,794,30,22,n16
t755,813.0,755,52,161,40,33,n23
t756,814.0,756,95,347,20,98,n16
t757,814.0,757,83,512,20,66,n16
t758,815.0,758,24,519,20,49,n23
t759,815.0,759,74,284,20,52,n23
t760,817.0,760,29,699,40,32,n8
t761,817.0,761,91,561,10,75,n8
t762,818.0,762,52,477,20,85,n8
t763,821.0,763,85,275,30,33,n23
t764,825.0,764,61,876,30,33,n23
t765,827.0,765,12,500,20,39,n8
t766,827.0,766,95,706,40,95,n8
t767,830.0,767,58,394,20,99,n8
t768,832.0,768,27,189,10,91,n23
t769,833.0,769,41,726,40,80,n16
t770,833.0,770,44,238,30,36,n16
t771,833.0,771,33,728,40,38,n16
t772,834.0,772,89,142,40,28,n16
t773,835.0,773,20,907,20,73,n16
t774,837.0,774,37,120,30,71,n16
t775,838.0,775,45,257,30,29,n16
t776,839.0,776,70,825,30,83,n8
t777,839.0,777,22,609,20,97,n23
t778,842.0,778,20,988,40,48,n8
t779,843.0,779,37,519,30,30,n16
t780,844.0,780,85,237,20,73,n8
t781,844.0,781,39,231,20,70,n23
t782,845.0,782,81,982,20,30,n8
t783,845.0,783,97,666,40,86,n23
t784,846.0,784,30,966,20,64,n8
t785,846.0,785,68,608,20,23,n16
t786,846.0,786,23,523,10,62,n23
t787,848.0,787,57,605,10,81,n16
t788,851.0,788,25,486,40,58,n16
t789,852.0,789,40,635,30,32,n23
t790,855.0,790,94,628,20,81,n16
t791,856.0,791,79,572,10,36,n16
t792,857.0,792,91,339,20,66,n16
t793,857.0,793,48,931,20,30,n16
t794,858.0,794,73,137,10,46,n16
t795,861.0,795,42,374,20,50,n16
t796,861.0,796,69,402,20,46,n16
t797,861.0,797,57,339,10,51,n23
t798,861.0,798,73,825,40,97,n23
t799,866.0,799,47,783,10,40,n16
